claim_id,claim_amount,claim_type,claim_date,claimant_age,claim_length,is_fraudulent,reserve_amount
93,76102.42635682806,auto,2025-05-19,34,21,1,108049.65963581608
94,56171.59203719268,auto,2025-03-03,51,27,1,33413.62620706947
95,77119.62127746064,auto,2024-11-26,23,24,1,80522.60183734346
96,49430.18007680264,health,2025-05-11,63,22,1,61318.60902080971
97,52321.00965526121,health,2025-01-01,23,4,1,65763.68159984749
98,42811.34773401911,life,2024-12-06,51,2,0,47380.01216541076
99,2639.370761735109,auto,2024-10-13,18,25,1,1759.8989967790576
100,10878.353556631115,life,2024-09-28,27,13,0,14113.799497417614
101,3239.7756501047515,life,2025-03-25,38,28,0,3952.886988738558
102,63677.40008525166,life,2025-05-05,22,1,1,37323.60202920565
103,31504.162509525035,home,2025-01-06,19,17,1,30364.021344818382
104,50906.21204735381,auto,2024-10-20,39,13,1,34309.63641518103
105,90765.89074521669,auto,2025-01-05,65,4,1,76014.35003281044
106,25004.293691972605,home,2025-01-21,74,7,0,12954.251785768898
107,41097.25401125941,home,2025-06-19,19,17,1,37001.08529600069
108,75579.55874045056,auto,2025-03-17,27,9,1,79349.2344327692
109,22956.936732613085,home,2025-06-19,51,4,1,25702.18675046635
110,7790.29299189642,life,2025-07-04,33,19,1,9063.930681795337
111,29046.170146085427,health,2024-12-08,65,1,1,38814.14484510997
112,16206.00659667504,life,2025-01-06,68,10,0,11594.796594986783
113,92976.79546902305,auto,2025-06-11,78,4,0,57690.411497108114
114,80831.22591848526,home,2024-12-10,56,9,1,109246.40647891187
115,63377.0352753913,health,2024-10-20,39,13,1,41614.17353172545
116,87158.912959753,auto,2025-08-14,29,14,1,128538.48556569971
117,80386.84048222154,home,2024-12-19,41,10,1,107922.40648795238
118,18738.34888271498,health,2025-08-27,64,6,1,18754.775029706936
119,89266.64394914878,health,2025-08-06,57,16,0,132241.51887715506
120,53980.28996737351,home,2024-10-06,55,6,1,32246.569057011202
121,80763.27150088985,health,2025-08-20,77,17,0,64858.218102853505
122,89619.52086235698,auto,2025-09-10,76,10,1,102007.12670977613
123,31868.547149689202,home,2025-02-14,27,18,1,27088.483965497166
124,11094.187260314908,life,2025-07-05,52,27,1,15846.632569168793
125,22870.722737939974,auto,2024-10-26,68,22,1,12936.277436060453
126,42768.068083763006,auto,2025-05-18,66,18,1,44881.31668148981
127,81819.67511565707,home,2025-08-10,49,3,1,89254.32359289777
128,86086.98526730872,home,2024-09-16,24,20,1,99234.88900882231
129,794.5178400659513,health,2025-06-28,38,27,0,600.390295572388
130,51123.65552749881,auto,2025-09-09,37,21,1,44199.79622116582
131,41799.359214563025,health,2025-05-25,43,25,0,56164.985129080706
132,22288.570266025952,auto,2024-12-29,21,28,1,15489.280737058047
133,12074.550196634913,auto,2025-01-23,63,15,0,16021.332424995664
134,33827.75562322243,life,2025-03-06,69,15,1,35947.24795764606
135,94296.67942086066,auto,2025-08-14,39,4,0,119020.09111208233
136,32387.972908873446,health,2024-11-01,32,29,0,39306.28250055057
137,51927.183112162274,health,2024-10-22,73,27,0,36739.07897481036
138,70331.59399362827,life,2024-10-07,57,9,1,75171.30343408596
139,36426.59727769147,health,2024-11-02,38,27,0,49821.50047460557
140,97181.03006382397,home,2025-01-09,32,26,1,90584.01603162676
141,96248.48476471691,life,2024-10-11,39,19,0,141157.13940391334
142,25253.05135295388,health,2025-01-07,69,24,1,24046.336821926805
143,49775.12573864931,health,2025-09-05,45,28,0,31994.73588814171
144,30157.74315069529,home,2025-09-10,31,17,1,26823.342631103307
145,28555.565388309016,life,2024-12-15,44,11,0,41454.18299005053
146,3785.006040717826,home,2024-12-05,78,25,0,3102.6483664536954
147,60995.4769645917,life,2025-02-15,58,9,1,83447.79979547173
148,50317.63442056326,life,2025-09-07,57,10,1,69501.26684402312
149,5242.727249873937,auto,2025-09-05,75,18,0,4457.296058590783
150,27936.781777237484,health,2024-12-16,45,20,1,16294.34191286311
151,90835.7620080687,health,2025-04-26,43,13,1,111233.65080144865
152,24032.232877630544,auto,2024-12-13,66,8,0,19502.452552965464
153,14574.997721913187,home,2025-04-20,19,7,1,18698.60875519275
154,48996.33075172854,auto,2025-09-05,42,17,1,46186.62873008866
155,98566.48036564901,health,2024-12-30,73,21,1,97114.27501404098
156,24281.32162399889,health,2024-09-21,79,23,0,31029.32931159484
157,67246.34118584727,auto,2024-10-03,20,15,1,59335.70561045094
158,76185.79957133888,auto,2025-02-05,25,20,1,71852.91090102048
159,23839.990644840727,auto,2025-06-14,61,15,1,20888.372578566403
160,72848.81322632477,health,2025-07-21,50,1,1,63184.72720105885
161,36841.5349586534,auto,2025-07-26,59,25,1,37797.4466786259
162,63267.35247629859,auto,2024-12-19,69,14,1,82804.27577603809
163,63389.61810501338,home,2025-06-29,52,5,1,54627.1641877735
164,53623.89093906837,auto,2025-05-13,23,11,1,54924.52342794154
165,9119.948028435389,health,2025-06-07,56,16,1,10676.972363505682
166,83546.71930936487,home,2024-10-31,69,2,1,64284.14144588459
167,32145.92849067641,life,2024-12-18,40,8,1,24994.19248626246
168,18733.199188945437,health,2025-05-07,42,11,1,26852.413628579525
169,4173.436641320915,health,2025-03-16,76,29,0,5106.344020262918
170,59130.205024505354,life,2025-04-30,67,18,1,63694.26901474972
171,67788.67974804401,health,2025-02-22,60,3,1,77802.42720952652
172,1757.1241098928297,life,2025-08-04,36,26,1,930.0448128298644
173,51258.09652409817,life,2025-03-06,22,1,1,57311.82973264186
174,22726.927942274,health,2025-02-18,68,11,0,22943.035418852654
175,64552.76176190404,auto,2025-01-21,28,16,1,67506.02994138935
176,17519.206257598646,auto,2024-11-28,73,18,0,15056.423284943825
177,69124.68003643634,life,2025-05-12,29,16,1,40194.197128946624
178,38734.86109542369,home,2024-09-22,27,23,1,26856.398905970356
179,93679.32587479978,life,2025-05-21,25,10,1,135904.78675019284
180,13838.342320184725,life,2025-04-13,41,18,0,12574.8956089072
181,34172.52846992083,life,2024-09-28,77,6,1,33034.00766402312
182,11436.004771934848,auto,2025-08-03,45,19,0,6320.791794259035
183,92476.89246602842,auto,2024-10-14,58,4,1,49712.454402907046
184,87746.20140276001,auto,2024-10-16,53,27,1,106803.04839626767
185,25868.368608744044,life,2025-08-28,54,13,1,26853.815422255248
186,66032.40619881448,home,2025-07-28,38,24,1,66607.28328494346
187,81740.49780010147,auto,2025-02-18,25,14,1,60743.369044215586
188,55564.56107878629,health,2025-03-03,72,3,1,69164.02805551473
189,53012.09277776505,health,2025-03-04,26,10,1,35424.619529195705
190,24261.043860955124,health,2024-12-05,64,6,0,16738.537077156838
191,9400.966503809332,life,2025-01-13,32,1,1,9031.622942647069
192,89731.85421953734,health,2025-08-16,65,23,0,70554.34996278661
193,90051.76391061672,life,2024-10-22,63,24,1,67310.35991793303
194,63346.835581599466,health,2025-09-09,57,27,1,72547.18077137815
195,33969.0761257652,home,2024-09-19,35,14,0,39097.44683193356
196,34986.036503804826,life,2025-06-18,59,8,1,46339.60255393293
197,72622.97231913691,health,2025-08-02,77,19,0,66646.72385631323
198,89721.31496926246,auto,2025-01-01,37,14,1,51417.94795614567
199,88719.93378408522,life,2025-02-03,23,10,1,68639.63044120431
200,78009.56703117663,auto,2024-10-18,29,17,1,115454.58538775971
201,64238.961450813345,auto,2025-03-28,19,9,1,70422.51235449711
202,8505.582503005378,auto,2024-11-28,24,29,1,10289.518581720291
203,16246.708538051915,auto,2025-07-27,33,6,0,8242.89478242271
204,89865.56343385522,health,2024-12-17,20,11,1,91501.63181416332
205,60682.263059993034,health,2025-08-23,62,25,1,32618.455398629783
206,1018.7854565013018,life,2025-05-19,20,7,1,1089.3161897305697
207,10237.007132316607,life,2025-05-28,44,17,0,14544.441321112028
208,66383.82673389478,life,2024-09-24,67,28,1,97479.2811318755
209,605.6522262372469,health,2024-11-27,60,28,1,630.2130443664253
210,16164.724336608115,life,2025-01-13,57,1,0,15489.116534915334
211,54918.505557721954,auto,2025-04-28,55,22,1,79358.17932148914
212,69220.33024950005,health,2025-08-21,50,5,0,81237.6601548715
213,65230.929824309795,life,2025-08-06,45,9,1,36848.90526137315
214,22504.504015109924,auto,2024-09-28,18,18,1,21733.17514011255
215,71246.70421261883,life,2025-04-23,72,24,1,52740.017875390826
216,23801.183840930327,home,2024-12-09,25,27,1,23082.49094452876
217,32607.429846110845,life,2024-11-29,54,21,0,31155.27660957161
218,74674.49137129061,home,2024-10-12,49,2,1,80808.61274027644
219,64998.326614816746,life,2025-08-28,77,29,1,55688.64816565733
220,84937.41870836838,life,2025-06-14,65,26,0,56421.41730103421
221,65795.5279408043,health,2025-04-05,60,11,1,66040.25010329176
222,56874.02947321362,health,2025-09-05,54,27,1,75653.99804963464
223,9458.109306026437,home,2025-05-30,21,28,1,11009.354886614756
224,36834.808725637406,health,2024-11-17,47,6,0,30881.11998307615
225,26593.71653140437,auto,2025-07-02,23,26,0,38175.892341553794
226,24474.56537357045,auto,2024-09-14,63,8,1,34563.16652358926
227,97303.7544197693,home,2025-02-22,71,4,1,69022.26245172678
228,39370.46269420937,auto,2025-08-05,36,18,0,21237.119911581758
229,89215.45086219361,auto,2025-04-13,49,28,1,110743.91607468044
230,63150.74873712656,life,2025-06-22,26,11,1,83839.58203529131
231,79501.64922381067,health,2024-11-29,29,5,0,116697.65383032574
232,50313.44560120869,auto,2025-05-13,28,15,1,69927.45780854227
233,57732.69807417328,auto,2024-11-27,63,28,1,63536.84149299122
234,49302.5176125045,health,2025-02-26,72,18,0,50784.17359581987
235,19604.774481024644,auto,2024-10-02,33,2,1,10348.204771829973
236,72272.96631462438,auto,2024-12-11,18,22,1,53963.07623140976
237,28149.159007841496,health,2025-03-28,62,11,1,27012.348232800487
238,2529.1650465022385,life,2025-03-01,72,26,0,2854.1726189328147
239,64582.68236112606,auto,2025-07-04,70,25,1,68280.15932692112
240,17793.35687276419,health,2024-09-26,38,13,1,22110.66562734684
241,94051.81257685614,auto,2025-08-04,47,4,0,73338.49323741831
242,95397.46484255847,auto,2024-12-31,30,22,1,101593.77894751777
243,91494.95258302281,life,2025-03-20,51,7,1,53812.04667111319
244,37078.85415551889,home,2025-08-17,21,29,0,33877.67069586754
245,1644.115991233856,home,2025-07-25,45,11,0,2055.4094170748967
246,92839.02440251377,health,2025-02-02,55,22,0,110794.17095347976
247,42875.5964168997,home,2025-05-18,75,24,1,63912.196400777044
248,96668.8164224626,health,2025-08-06,48,4,0,75197.8144547731
249,96365.63571121635,home,2025-03-23,76,28,1,96191.14637503403
250,85315.64460118927,life,2024-11-08,72,15,1,70771.92196741978
251,29515.44431775161,health,2024-11-03,44,1,1,27762.31883811734
252,38571.263087332336,home,2024-11-13,22,23,0,52339.280455581946
253,85128.553484534,life,2025-02-22,42,3,1,100810.00559405363
254,31760.50831511214,home,2025-03-30,20,14,0,43907.03495294841
255,17032.32539394064,auto,2025-08-29,50,6,0,11982.430115360514
256,55724.44611958918,auto,2024-10-24,21,18,0,76529.78761389398
257,93621.86193866201,life,2025-04-27,42,25,0,52405.98635160018
258,69633.3766878298,auto,2025-01-26,37,1,1,96692.85676312965
259,57049.11089192756,auto,2025-01-05,51,6,1,47297.92198204456
260,9807.931727699777,health,2025-05-20,43,6,0,7989.419894753698
261,61539.22194724706,home,2025-03-15,79,21,1,62283.14355173245
262,99006.3796254159,health,2024-12-04,79,16,1,142637.51964833797
263,14094.393122128751,home,2025-03-05,22,29,0,7720.645898795901
264,51881.1322711373,auto,2025-02-04,52,5,1,44214.70794320565
265,87749.56988560274,health,2025-06-10,78,17,1,119038.60852581948
266,74102.78491364502,home,2024-09-30,45,10,1,66400.13221230898
267,69731.87252542727,home,2024-11-18,46,28,1,48753.51965851188
268,70278.15999031221,health,2024-10-10,26,21,0,64992.83343371876
269,36013.16600685354,life,2025-03-03,69,18,1,31891.549244003905
270,29429.825242022886,home,2025-08-01,55,7,0,41655.451453892936
271,80955.17943230351,auto,2024-11-01,67,3,1,102160.12382007435
272,81030.32812845016,home,2025-04-15,23,13,1,81444.84328894637
273,86720.52462615236,auto,2025-05-10,36,15,1,129072.27638421835
274,91332.73120039148,health,2025-08-07,77,20,0,88161.43329780138
275,51183.10564620769,home,2025-08-02,61,19,1,28572.345870583962
276,50201.47783925124,auto,2025-04-29,74,3,1,38267.29747402523
277,79849.68837878083,auto,2025-06-27,28,4,1,74744.93614608784
278,65031.39668469874,health,2025-03-03,19,5,1,42719.2951340659
279,70226.49103804457,home,2024-09-14,64,1,0,101657.41937078125
280,79599.6876766665,home,2024-10-24,61,4,1,100840.77659982392
281,89011.53364757488,health,2025-06-27,61,12,1,68386.4219918778
282,33865.716169468426,home,2025-02-26,26,28,1,36940.87672848715
283,37620.73696873041,health,2025-04-04,38,27,0,45951.817460296676
284,9488.795790102813,home,2025-03-13,41,24,1,13676.001432974715
285,57870.18608551778,life,2025-07-21,51,10,1,79955.49475911034
286,3690.6331522945343,home,2025-07-29,39,23,1,3746.702085737382
287,46613.24201143277,auto,2025-09-11,20,25,0,59415.69104691872
288,54310.1990072869,auto,2025-04-09,29,21,1,57685.2929549219
289,28725.471087615613,life,2025-01-29,45,29,0,30239.41515732365
290,59124.24273084418,home,2025-03-13,47,26,1,36346.15276162176
291,3146.974968911038,auto,2025-04-28,43,20,0,1970.4395368694104
292,3831.0840560465203,auto,2025-07-23,65,24,0,3944.229817676473
293,82277.79600989986,home,2025-07-08,38,25,1,63260.233357639154
294,36083.04507698516,health,2025-07-31,45,13,0,18800.59803825381
295,12793.34521392329,home,2025-06-10,73,23,0,15644.204076614547
296,52272.10167947496,health,2025-02-05,43,14,1,27834.193525145878
297,77022.35595455123,life,2025-01-27,79,23,1,84360.80272429294
298,21660.520646934634,life,2024-12-02,50,5,1,22509.478633861032
299,62326.75853431813,auto,2024-12-03,38,4,0,91546.458551302
300,8626.211752877423,auto,2024-12-25,52,14,0,8490.030949977012
301,5263.0039447439085,auto,2025-02-17,69,10,1,2966.2365829196806
302,53182.327693657986,health,2025-07-23,51,17,1,55931.214135360475
303,54109.44864884964,auto,2025-08-31,58,10,1,72565.97437712085
304,63779.247159670835,home,2025-07-30,68,26,1,95467.92046296234
305,72636.5242388939,health,2025-03-16,64,7,1,67576.89448615578
306,97587.62273830721,life,2024-12-04,35,16,1,80051.00421547992
307,51678.40479528941,health,2025-07-28,75,1,1,72693.59848651385
308,32363.351646830473,auto,2024-11-12,28,17,0,22370.912096394295
309,79539.1008573935,home,2024-11-11,74,21,1,88720.21297205695
310,27156.141901081213,home,2025-03-31,40,29,0,24595.70942491388
311,43953.24492849305,auto,2025-02-28,65,9,0,23782.325713379785
312,7937.792496092369,home,2025-09-07,39,6,1,6725.600093369319
313,2632.5392672042053,health,2025-04-17,34,19,0,2014.4941338729477
314,96268.5766263247,health,2025-02-14,22,13,1,114183.30713921446
315,83614.41403916937,auto,2025-02-27,61,3,1,121139.7685300263
316,69627.82318876043,home,2025-08-01,28,7,1,53477.45376342454
317,40954.39914698556,life,2024-12-01,47,22,1,53710.29953969426
318,17412.102575077493,health,2025-05-12,32,9,1,9669.982098607847
319,15728.060562841496,health,2024-11-25,44,22,1,16327.630117464369
320,25099.265526643074,health,2024-12-21,52,5,1,14320.387545297766
321,54967.743804141435,health,2025-06-19,50,10,1,78825.55806315561
322,71488.13267773623,life,2024-09-28,37,23,1,90529.08836110789
323,66053.71793410135,auto,2025-03-03,78,17,1,76486.89681652586
324,28065.39630489969,health,2025-06-19,33,12,0,37155.67661691892
325,95491.04153825309,home,2025-07-04,51,23,0,109577.86046475814
326,73815.90197790727,life,2025-04-29,19,16,0,108431.45563281357
327,55479.969845888925,health,2025-04-12,52,3,0,67350.35034171473
328,61210.90254881179,home,2025-04-29,57,25,0,87204.63931646461
329,42018.04623653621,health,2025-01-04,73,22,1,42737.894867158546
330,24848.32585116563,auto,2025-07-01,45,9,0,15333.017604931563
331,35661.670597261036,life,2025-08-12,64,29,1,36666.53521683006
332,75808.82643539048,auto,2025-06-20,56,15,1,47522.49341969742
333,1537.9095141126113,life,2025-02-03,23,5,0,1680.156115731381
334,11695.656786640931,health,2025-04-25,26,23,1,11490.90163118798
335,4695.6639379731,health,2025-02-10,37,13,1,5271.236813259198
336,4168.807351665117,life,2025-04-13,77,14,1,2126.2876043159804
337,85560.51234269961,home,2025-01-09,18,20,1,59450.90846248625
338,70395.42015206437,home,2025-08-05,25,15,1,69785.12226398189
339,47469.96552582378,health,2025-03-13,72,16,1,68855.35406372085
340,9873.632649035048,health,2025-05-08,40,23,0,8724.43106983322
341,49212.425924171555,auto,2025-05-10,20,13,0,45490.58985854087
342,47399.82990097851,health,2024-10-28,21,17,0,57576.38800029774
343,17402.86680401052,life,2025-01-03,75,23,1,19209.158334281823
344,43441.779758873505,home,2024-11-13,42,8,1,34706.77385617651
345,39910.622966297604,home,2024-11-02,64,21,0,36351.249755013785
346,61623.424795416424,auto,2025-06-05,55,2,1,44227.11958056416
347,63545.85572167762,home,2025-01-22,32,5,1,93159.58812677153
348,4625.8705762272475,home,2025-07-21,38,6,0,2917.2330300034578
349,37523.80020118447,life,2025-07-06,52,12,0,32714.629312113433
350,62623.40557985222,home,2025-04-11,74,18,0,32929.827227026406
351,50363.31223215076,auto,2025-09-10,70,22,1,36351.20591501234
352,85663.3351347134,auto,2025-02-23,70,22,0,109689.42825738718
353,65903.49379873261,home,2025-03-27,63,1,1,46209.89757297507
354,16377.149265434826,health,2024-10-31,69,17,0,9499.784926632874
355,7149.817865302942,home,2025-03-03,31,11,1,6967.162754153633
356,64277.68589281093,auto,2025-03-29,53,10,1,32779.64228526255
357,2748.479923108019,auto,2025-01-31,29,19,1,1607.2180351538602
358,58618.980569218984,life,2025-03-26,34,14,1,76651.69543972012
359,94029.00111835326,home,2025-02-05,56,26,1,119555.3685657603
360,57589.87036980031,home,2024-10-15,26,10,0,81497.66122239009
361,38878.17562803154,life,2024-11-13,52,15,0,52661.089008217816
362,64364.493022391085,auto,2025-07-06,77,28,0,76154.49528441291
363,45879.46376010251,life,2025-04-13,30,19,0,25340.735310039632
364,54607.1172526619,health,2025-04-02,32,4,1,70052.66489981268
365,94152.33439677487,home,2024-11-09,35,2,0,126682.98379673614
366,38671.653516297345,auto,2024-09-23,68,9,0,50237.6546305011
367,96122.93732600904,life,2025-06-03,50,10,0,96937.96710550746
368,90544.52913141077,auto,2025-01-11,23,28,1,66360.25188006251
369,19659.534365450716,health,2025-04-06,76,11,1,26448.560889923498
370,7029.193957429029,home,2025-06-15,44,14,0,8625.96540700701
371,10167.722337604922,life,2025-02-22,40,7,1,15055.968469491623
372,1920.3603825898178,auto,2025-04-03,76,23,0,1259.166087887895
373,9534.851779517247,home,2025-04-17,44,15,1,6919.104241046528
374,68332.37666429405,home,2024-09-23,51,22,0,48638.85928665047
375,7211.745981176876,auto,2024-10-24,73,19,0,9321.468474654468
376,31965.665466346753,home,2025-01-05,63,22,1,21957.448844717153
377,84503.04356584851,home,2024-11-23,55,15,1,47884.48028657513
378,2424.866380009004,life,2025-05-12,31,28,1,3633.8097182886663
379,81465.40141063469,home,2025-03-31,53,24,1,42754.444797589014
380,28257.291999862653,life,2025-03-05,70,8,0,37730.38129899125
381,11904.66627940346,home,2025-04-23,25,11,0,10301.903457921933
382,69704.04281987865,health,2025-02-24,79,29,1,93516.02145476994
383,62931.39039331041,health,2025-03-11,52,9,1,66368.73384919335
384,87759.45415135259,life,2025-07-17,36,15,1,123006.39162121218
385,73533.5972760082,life,2024-11-29,47,1,1,104873.10070088059
386,80367.74494544638,health,2025-06-03,31,1,1,40915.07278536403
387,28275.253799873517,home,2024-11-14,76,19,1,16269.925315733575
388,17826.210423594308,life,2024-12-08,37,3,1,13376.052606510966
389,75086.41368892175,auto,2025-06-13,66,10,1,87799.70108590365
390,80702.79045279967,home,2024-09-29,42,8,0,112037.440166516
391,99051.46368586726,home,2024-12-06,57,15,1,95083.6553291345
392,41320.50592345151,health,2025-08-31,41,10,1,45740.68920811235
393,37264.606770699036,life,2025-01-20,31,1,1,25656.676276110757
394,77663.65477812548,home,2024-09-16,43,29,1,101348.49368349063
395,34146.27367127648,life,2025-05-29,55,18,0,50103.78725583283
396,93082.65682779612,life,2025-02-01,40,2,1,71543.23071069976
397,85855.43390911688,life,2025-04-17,39,19,1,85411.21373871501
398,42956.50333476433,health,2024-09-24,65,13,0,25177.498655526146
399,75112.01967237059,life,2025-08-09,74,22,1,79553.8933759753
400,75478.83312105977,health,2025-02-16,36,1,1,75688.92406370754
401,10402.074496709667,auto,2024-10-04,63,2,1,6703.476316578776
402,90265.03537728872,home,2025-01-01,68,29,0,85035.64005485145
403,50574.712007540926,home,2025-07-04,20,16,1,42184.60256342806
404,82663.10086416338,auto,2024-10-24,59,15,1,84467.70871146921
405,32072.955142958115,health,2025-04-11,36,13,1,34820.142800965885
406,89562.77052677043,home,2025-05-13,26,16,1,45542.27282067486
407,38981.2477055429,health,2025-05-07,45,17,1,49155.58657952822
408,1182.6813828818063,health,2024-10-11,37,21,1,1434.6094201544386
409,90547.65944428444,health,2025-06-27,62,29,1,78440.20467944804
410,9219.539010934743,auto,2025-02-09,24,29,0,5097.814428524419
411,31999.432395282445,auto,2025-03-04,31,7,0,40157.128967491815
412,95011.19050837541,health,2025-08-07,26,24,1,138257.9243952436
413,95065.65397906186,life,2025-01-27,76,26,1,70362.99551947917
414,57386.44502351628,auto,2024-11-11,77,17,0,47259.14997173301
415,63220.53749576295,life,2025-01-11,72,7,1,43231.01841957108
416,44899.707645634146,life,2024-11-19,74,13,1,48354.11709120589
417,29391.756092636646,health,2025-02-20,77,5,0,19246.938550840012
